id,name,area.name,salary.from,salary.to,salary.currency,salary.gross,employer.name,snippet.requirement,snippet.responsibility,schedule.name
76729345,Data Engineer,Москва,,,,,Aviasales.ru,Опыт работы <highlighttext>инженером</highlighttext> данных от 3 лет. Отличное знание Python и SQL. Опыт с AWS или опыт с Apache Impala.,Подключение новых данных; мониторинг актуальности; исследование производительности отдельных запросов и базы в целом; разработка инструментов для запуска агрегатов разных форматов...,Полный день
76243485,Lead Data Engineer (удаленно),Москва,300000.0,400000.0,RUR,False,Группа компаний МЕДСИ,...<highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext> от 3 лет. Опыт на позиции Lead от 1 года. Понимание принципов современной разработки в сфере Big <highlighttext>Data</highlighttext>...,"Найм команды в рамках квартала для реализации поставленных задач. Техническое руководство группой разработчиков, декомпозиция задач, ревью кода, развитие команды. ",Удаленная работа
72133256,Data engineer,Москва,,,,,Промсвязьбанк,"Опыт работы по направлению разработчик Python от 3 лет (middle/middle+). Разработка ETL на одном из инструментов (Airflow, Informatica, Talend...","Разработка процессов загрузки данных из различных источников в Greenplum (RDBMS, WebService, API). Проектирование и разработка процессов преобразования данных (ETL) для...",Полный день
77403977,Data engineer (Python Hadoop Spark),Москва,,,,,X5 Tech,"Опыт работы с Python от 2 лет. Опыт с Hadoop, Hive, Spark. Знание SQL (чтобы писать и оптимизировать запросы). ","Написание пайплайнов по работе с данными с использованием Airflow, Spark (пример: регулярный расчет фичей для модели, построение витрин с данными. ",Удаленная работа
76513986,Senior Data Engineer / Data Architect,Москва,5000.0,,USD,False,Superdao,"Background as a DevOps or Software <highlighttext>Engineer</highlighttext>. — Familiarity with <highlighttext>data</highlighttext> warehousing ETL Solutions, and <highlighttext>data</highlighttext> pipeline architecture. — Proficiency in SQL. — ",Create ELT/ELT pipelines for transferring <highlighttext>data</highlighttext> to DWH and mentor teammates. — Facilitate and explore ways to enhance <highlighttext>data</highlighttext> quality...,Гибкий график
72420586,Data engineer (DWH),Санкт-Петербург,,,,,NETRIKA,"Опыт разработки на python. Опыт работы с базами данных, SQL. Понимание теории БД и ETL-процессов. Умение читать и поддерживать...","Оптимизация SQL запросов, потоков загрузки данных. Написание скриптов на SQL, Python. Разработка внутреннего фреймворка по обработке данных (Python). ",Полный день
77037101,Data Engineer в Практикум,Москва,,,,,Яндекс,"Больше трёх лет работали <highlighttext>инженером</highlighttext> данных. Работали со специализированными аналитическими базами данных Greenplum, Vertica, ClickHouse, Teradata. Работали с AWS, PostgreSQL. ",Заниматься инфраструктурой обработки данных для аналитики и пользовательских сервисов. Проектировать и создавать витрины данных из «сырых» продуктовых источников и внешних...,Гибкий график
77122800,Data Engineer (DWH),Москва,,,,,HR Prime,Опыт работы с <highlighttext>Data</highlighttext> Vault и GreenPlum от 1 года. Опыт оптимизации сложных SQL запросов. Опыт с Airflow. ,Разработка DWH на GreenPlum. Работа с витринами данных. Мониторинг производительности работы DWH платформы и её оптимизация. Разработка новых ETL-процессов.,Полный день
77037098,Data Engineer в Практикум,Санкт-Петербург,,,,,Яндекс,"Больше трёх лет работали <highlighttext>инженером</highlighttext> данных. Работали со специализированными аналитическими базами данных Greenplum, Vertica, ClickHouse, Teradata. Работали с AWS, PostgreSQL. ",Заниматься инфраструктурой обработки данных для аналитики и пользовательских сервисов. Проектировать и создавать витрины данных из «сырых» продуктовых источников и внешних...,Гибкий график
76522078,Data Engineer,Москва,,,,,СБЕР,"Понимание работы Hive, Spark на Hadoop. Базовые знания языков программирования Python. Знание SQL на уровне аналитических запросов. Понимание объектно-ориентированного...","Исследование источников данных (внешних данных, реплик АС Банка, других витрин). Разработка и изменение витрин данных на Hadoop/GreenPlum исходя из...",Полный день
76610643,Data engineer,Москва,,,,,"Лента, федеральная розничная сеть","Опыт работы в big <highlighttext>data</highlighttext>. Python (Java/scala тоже можно)опыт программирования от 2-х лет на SQL, Python. ","Разработка архитектуры доставки, хранения и обработки данных. Разработка и поддержка автоматизированных регулярных ETL процессов. Организация хранения данных с использованием инфраструктуры...",Полный день
77421450,Data scientist (SberWorks),Москва,,,,,СБЕР,"Опыт подготовки сырых данных (<highlighttext>data</highlighttext> wrangling, features <highlighttext>engineering</highlighttext>) и препроцессинга данных под различные алгоритмы. Как плюс: Опыт работы с БД...",Команда занимается реализацией проектов по end-to-end внедрению алгоритмов машинного обучения в производственном процессе Банка. Сюда входит формализация бизнес...,Полный день
67471218,Data Engineer (ETL Developer),Санкт-Петербург,,,,,Lesta Games,"Опыт работы ETL-разработчика/<highlighttext>инженера</highlighttext> по работе с данными. Опыт работы со Spark, Scala/Python. Отличные знания в составлении запросов...","Создавать средства взаимодействия с источниками данных, поддерживать используемые сторонние коннекторы. Имплементировать логику ETL-трансформаций на Spark, PL/SQL, Hive, Impala. ",Полный день
77477689,Data Engineer,Санкт-Петербург,,,,,СБЕР,"Знание SQL. Joinы, агрегаты, группировки, вложенные запросы, индексы, хранимые процедуры, оконные функции. Опыт разработки на Scala и/или Java от...",Разработка и внедрение в production кода подготовки витрин данных Банка (на стеке Scala + Spark). Анализ качества данных. ,Полный день
77223139,Senior Data Engineer (Сlickhouse),Санкт-Петербург,200000.0,400000.0,RUR,True,MPSTATS,Опыт работы с коммерческими проектами от 3-х лет. Абсолютные знания архитектуры Clickhouse. Опыт с мастштабированием данных (шардирование/репликация). ,Проектирование и модернизация схем хранения данных. Мониторинг системы доступа к данным. Поиск и устранение узких мест.,Удаленная работа
76141435,Python Data Engineer (junior),Москва,,,,,Лига Цифровой Экономики,"Уверенное использование Python 3.8. Знание базовых структур данных и алгоритмов, способность оценивать скорость работы алгоритмов. Навыки использование git. ",Разработка пайплайнов обработки в Airflow. Работа с распределенными вычислениями для Clichouse и Greenplum. Миграция логики из процедур обработки Oracle на...,Полный день
73528420,Data Engineer,Москва,,,,,AliExpress Россия,"Имеете Практический опыт построения DWH/BI-систем. Понимаете принципы построения хранилищ данных. Обладаете Знанием основных архитектурных подходов (Кимбол, DataVault, Anchor...",Проектировать и разрабатывать ETL процессы и физические структуры DWH.,Полный день
77421868,Data Engineer (DWH),Москва,,,,,ITentika,Опыт работы в построении и разработке витрин данных от 3-х лет. Уверенное знание Python. Знание SQL и опыт работы...,"Разработка и поддержка DWH. Оптимизация SQL запросов, потоков загрузки данных. Проектирование потоков данных. Проектирование и разработка процессов преобразования данных (ETL...",Гибкий график
77488142,Data Engineer,Москва,,,,,СБЕР,"Большой опыт работы в HPSM (создание ЗНО, ЗНИ, ЗНР, Инциденты и тд) + Jira + Confluence. Опыт работы в контуре...","Разработка прототипов витрин данных в ПКАП ЛД (Hue,Hive, Spark). Компиляция разработанных в Jupiter скриптов/перевод их на Scala для...",Полный день
76578094,Data engineer (ДИР),Санкт-Петербург,,,,,"Иннотех, Группа компаний",Вместе с нам ты будешь: Какие знания и навыки для нас важны: Опыт работы в роли разработчика DWH не менее...,Миграция на Airflow + dbt + PL/pgSQL. Разработка трансформаций Hadoop / Greenplum (<highlighttext>Data</highlighttext> Vault) для целей построения витрин данных. ,Удаленная работа
77239913,Data Engineer,Москва,,,,,билайн,"Интересуетесь Flink, пробовали применять его в проектах. Умеете проектировать базы данных (знает <highlighttext>Data</highlighttext> Vault 2.0 например). Понимаете принципы работы...","Анализ требований к витринам данных (взаимодействие с владельцем продукта, BI-разработчиками, <highlighttext>data</highlighttext> scientist-ами). Поиск и исследование источников данных для...",Полный день
76291546,Data Engineer,Москва,,,,,Rutube,Навыки написания сложных и оптимальных SQL-запросов. Владение Python для работы с данными. Навыки настройки потоков данных в Apache AirFlow. ,"Разработка витрин данных, интерактивных дашбордов и отчетов. Работа с ad-hoc запросами. Разработка потоков загрузки и обработки сырых данных на...",Полный день
77080567,Data Engineer,Екатеринбург,,,,,Тинькофф,"Знание одного из языков программирования: Python, Java, Go. Знание основ ООП, теории алгоритмов, структур данных. Знание SQL. Опыт написания процессов...",Участие в разработке ядра продуктов <highlighttext>Data</highlighttext> Platform. Разработка и оптимизация процессов выгрузки данных.,Полный день
77339875,Big-Data инженер,Москва,140000.0,170000.0,RUR,False,O.dev,"Минимальный опыт работы с проектным стеком — 1 года (1-2 проекта). В опыте работы должно быть Hadoop / HDFS / Hive, Linux...","Разработка фреймворка загрузке данных в Hadoop из различных источников в интересах различных бизнес-потребителей. Есть супермаркет данных, который обеспечивает загрузку...",Удаленная работа
77279563,Data Engineer Lead / Дата инженер,Москва,300000.0,,RUR,False,Сеть Партнерств,"Навыки коммуникации с заказчиками и контрагентами. Понимание принципов работы <highlighttext>data</highlighttext> science проектов. Опыт работы с Nifi, Airflow, PostgreSQL, ClickHouse. ",Взаимодействие с внешними и внутренними коллегами с целью определения способов интеграций систем. Участие в проектировании архитектуры аналитического контура. ,Полный день
72679130,Data engineer,Москва,,,,,Актион Технологии,"Уверенные знания SQL и баз данных. Знание одного из ЯП: Python, Scala, Java. Знание основ ООП. Опыт работы с системами...","...<highlighttext>data</highlighttext>-flow между продуктами к целевому состоянию. Устраним расхождение данных между продуктами. Опишем все ключевые данные, как результат: есть <highlighttext>data</highlighttext>...",Полный день
71625886,Data Engineer,Санкт-Петербург,,,,,Data-Driven Lab,Релевантный опыт работы от 2х лет в роли <highlighttext>Data</highlighttext> <highlighttext>engineer</highlighttext>. Опыт работы с базами данных и хранилищами широкого профиля...,"Проектирование решения DWH / DataLake (на базе облачного Databricks), участие в проработке архитектуры и логики сервисов сбора данных совместно с командами...",Удаленная работа
77389810,MLOps engineer,Москва,,,,,Страховая компания «Сбербанк страхование»,"Владение SQL, Python и библиотеками анализа данных: Pandas, NumPy, scikit-learn, xgboost. Знания в направлениях CV, OCR, Image Recognition, Auto...","Анализ клиентской базы: сегментация, склонность к покупке/оттоку, оценка потенциала развития клиентов. Оптимизация процессов: модели распознавания в процессах урегулирования убытков. ",Полный день
76669711,ML-engineer (ranking and recs),Москва,,,,,Циан,"Пишет легко читаемый и поддерживаемый код на Python. Имеет продвинутый уровень в SQL: оконные функции, оптимизация запросов. Имеет опыт в...",Участие во внутрикомандных процессах. Коммуникация как с бизнес заказчиком так и с <highlighttext>data</highlighttext>-scientist-ами. Периодически - проведение а/б экспериментов.,Удаленная работа
77422547,Data Engineer/ETL developer,Москва,,,,,IBS,"Опыт работы с любой промышленной ETL-системой. Знание SQL, PL/SQL или PL/pgSQL. Опыт работы с одной из РСУБД...",Проектировать и разрабатывать потоки для загрузки данных в хранилище. Проектировать и реализовывать слои детальных данных. Проектирование и разработка корпоративной аналитической...,Полный день
77296552,Data Engineer,Санкт-Петербург,,,,,Space307,Имеешь опыт работы с linux(в том числе администрирование). Хорошо знаком с k8s.,"Разрабатывать, оптимизировать и стандартизировать etl. Развивать платформу и ее части <highlighttext>data</highlighttext> lake, dwh. Развивать инструменты для self service аналитиков и...",Полный день
76111917,Data Engineer,Санкт-Петербург,,,,,Главстрой Санкт-Петербург,"Навыки программирования на Python(pandas, numpy, selenium, unittest или pytest ). Навыки работы с SQL любого диалекта. Понимание технологий интеграции между...",Участие в построении корпоративного хранилища данных (BigData) на платформе Microsoft для BI-системы и проектов Искусственного интеллекта(DL/ML). ,Полный день
